	New York	New Jersey	New York City
1/1/2008	136.4919928	133.3173228	157.8665511
2/1/2008	136.7516745	133.3056233	158.2113163
3/1/2008	136.7907328	133.2111385	158.4598301
4/1/2008	136.7880016	132.9715878	158.5968822
5/1/2008	136.6757404	132.6722679	158.6097268
6/1/2008	136.3905891	132.3495239	158.4916162
7/1/2008	135.9835566	131.9553685	158.234288
8/1/2008	135.4821411	131.5486601	157.8322786
9/1/2008	134.7742775	131.0551931	157.2876242
10/1/2008	133.8589673	130.4616193	156.610239
11/1/2008	132.7429299	129.7123697	155.8218802
12/1/2008	131.4347002	128.9432694	154.9530076
1/1/2009	129.8938245	128.1614795	154.0433457
2/1/2009	128.4177725	127.422215	153.1395175
3/1/2009	127.18099	126.7189166	152.2890745
4/1/2009	126.107639	126.0878746	151.5338102
5/1/2009	125.2900131	125.562988	150.9044541
6/1/2009	124.7950267	125.1622792	150.4173331
7/1/2009	124.4193511	124.8271961	150.0770266
8/1/2009	124.0442672	124.5284972	149.879265
9/1/2009	123.6903853	124.2725164	149.8201008
10/1/2009	123.4890879	124.1127272	149.9024567
11/1/2009	123.4425676	124.0032519	150.1220984
12/1/2009	123.4705768	123.9778971	150.4659637
1/1/2010	123.6805564	123.9362003	150.9130856
2/1/2010	123.8929037	123.8016746	151.4357934
3/1/2010	124.2372237	123.7877708	152.009007
4/1/2010	124.7139521	123.9048924	152.6102137
5/1/2010	125.1907087	124.012171	153.2185689
6/1/2010	125.4996135	124.0075097	153.8189153
7/1/2010	125.7139414	123.9477562	154.4114961
8/1/2010	125.9756049	123.8782799	155.0071881
9/1/2010	126.197838	123.8110188	155.6144349
10/1/2010	126.4659239	123.7296778	156.2341305
11/1/2010	126.8919025	123.702388	156.8619287
12/1/2010	127.3715264	123.6607917	157.493792
1/1/2011	127.8996582	123.6471277	158.1224464
2/1/2011	128.4616704	123.7000081	158.7391461
3/1/2011	128.8772062	123.7724109	159.3353946
4/1/2011	129.1975715	123.8616651	159.9055804
5/1/2011	129.4680649	123.8935431	160.447493
6/1/2011	129.6983718	124.0277794	160.9652847
7/1/2011	129.9101761	124.1605764	161.463302
8/1/2011	130.1362247	124.2570258	161.9435248
9/1/2011	130.3960542	124.4125985	162.4131559
10/1/2011	130.6639757	124.6085945	162.8823375
11/1/2011	130.930013	124.7862546	163.363346
12/1/2011	131.2448889	125.0336633	163.86342
1/1/2012	131.5555155	125.3428102	164.3871984
2/1/2012	131.8106676	125.6771613	164.9334313
3/1/2012	132.0500537	125.8281712	165.4978914
4/1/2012	132.2424719	125.9216639	166.0759856
5/1/2012	132.3797803	126.0338068	166.6647561
6/1/2012	132.5250407	126.173631	167.260472
